Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Aged Smelter Sword,30.78,34.02,72.90,80.19,24.30,24.30,32.40,64.80,64.80,64.80,38.48,42.53,91.13,100.24,30.38,30.38,40.50,81.00,81.00,81.00,38.48,42.53,91.13,100.24,30.38,30.38,40.50,81.00,81.00,81.00,38.48,42.53,91.13,100.24,30.38,30.38,40.50,81.00,81.00,81.00,30.78,34.02,72.90,80.19,24.30,24.30,32.40,64.80,64.80,64.80,42.53,60.75,30.78,34.02,48.60,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40
Aldia Hammer,20.14,22.26,29.68,30.74,15.90,15.90,15.90,34.98,34.98,34.98,25.16,27.81,37.10,38.41,19.86,19.86,19.86,43.71,43.71,43.71,28.20,31.16,41.55,43.04,22.26,22.26,22.26,48.97,48.97,48.97,20.14,22.26,29.68,30.74,15.90,15.90,15.90,34.98,34.98,34.98,21.75,24.04,32.05,33.20,17.17,17.17,17.17,37.78,37.78,37.78,27.18,30.04,21.75,24.04,32.05,16.11,16.11,26.18,28.94,38.58,39.96,21.20,21.20,21.20
Alonne Greatbow,85.79,94.82,126.42,130.94,16.88,16.88,16.88,37.13,37.13,37.13,107.19,118.47,158.03,163.62,21.08,21.08,21.08,46.40,46.40,46.40,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,21.38,23.63,31.50,32.63,16.88,16.88,16.88,37.13,37.13,37.13,92.65,102.40,136.53,141.41,18.23,18.23,18.23,40.10,40.10,40.10,28.85,31.88,23.09,25.52,34.02,17.10,17.10,27.79,30.71,40.95,42.41,22.50,22.50,22.50
Arced Sword,31.64,34.97,46.62,48.29,24.98,24.98,24.98,54.95,54.95,54.95,39.53,43.69,58.28,60.34,31.20,31.20,31.20,68.66,68.66,68.66,44.29,48.95,65.27,67.60,34.97,34.97,34.97,76.92,76.92,76.92,31.64,34.97,46.62,48.29,24.98,24.98,24.98,54.95,54.95,54.95,34.17,37.76,50.35,52.15,26.97,26.97,26.97,59.34,59.34,59.34,42.69,47.19,34.17,37.76,50.35,25.31,25.31,41.13,45.45,60.61,62.77,33.30,33.30,33.30
Archdrake Chime,24.32,26.88,25.34,26.25,13.58,13.58,13.58,29.87,29.87,29.87,30.39,33.59,31.68,32.80,16.96,16.96,16.96,37.32,37.32,37.32,24.07,26.61,35.48,36.74,19.01,19.01,19.01,41.81,41.81,41.81,17.20,19.01,25.34,26.25,13.58,13.58,13.58,29.87,29.87,29.87,26.27,29.03,27.37,28.34,14.66,14.66,14.66,32.25,32.25,32.25,23.20,25.65,18.57,20.53,27.37,13.76,13.76,22.35,24.71,32.94,34.12,18.10,18.10,18.10
Archdrake Mace,27.17,30.03,40.04,41.47,21.45,21.45,21.45,47.19,47.19,47.19,33.95,37.52,50.05,51.82,26.80,26.80,26.80,58.97,58.97,58.97,38.04,42.04,56.06,58.06,30.03,30.03,30.03,66.07,66.07,66.07,27.17,30.03,40.04,41.47,21.45,21.45,21.45,47.19,47.19,47.19,29.34,32.43,43.24,44.79,23.17,23.17,23.17,50.97,50.97,50.97,36.67,40.53,29.34,32.43,43.24,21.74,21.74,35.32,39.04,52.05,53.91,28.60,28.60,28.60
Archdrake Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Archdrake Staff,23.18,25.62,25.62,26.54,13.73,13.73,13.73,30.20,30.20,30.20,28.96,32.01,32.03,33.16,17.15,17.15,17.15,37.73,37.73,37.73,24.34,26.90,35.87,37.15,19.22,19.22,19.22,42.27,42.27,42.27,17.39,19.22,25.62,26.54,13.73,13.73,13.73,30.20,30.20,30.20,25.03,27.67,27.67,28.66,14.82,14.82,14.82,32.61,32.61,32.61,23.46,25.93,18.78,20.75,27.67,13.91,13.91,22.60,24.98,33.31,34.50,18.30,18.30,18.30
Ashen Warrior Sword,19.10,21.11,28.14,29.15,15.08,15.08,15.08,33.17,33.17,33.17,23.86,26.37,35.18,36.42,18.83,18.83,18.83,41.45,41.45,41.45,26.73,29.55,39.40,40.80,21.11,21.11,21.11,46.43,46.43,46.43,19.10,21.11,28.14,29.15,15.08,15.08,15.08,33.17,33.17,33.17,20.62,22.79,30.39,31.48,16.28,16.28,16.28,35.82,35.82,35.82,25.77,28.48,20.62,22.79,30.39,15.28,15.28,24.82,27.44,36.58,37.89,20.10,20.10,20.10
Avelyn,59.09,65.31,87.08,90.19,17.70,17.70,17.70,38.94,38.94,38.94,73.83,81.61,108.85,112.71,22.11,22.11,22.11,48.66,48.66,48.66,31.39,34.69,46.26,47.91,24.78,24.78,24.78,54.52,54.52,54.52,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,63.82,70.53,94.05,97.41,19.12,19.12,19.12,42.06,42.06,42.06,30.26,33.44,24.21,26.76,35.68,17.94,17.94,29.15,32.21,42.95,44.49,23.60,23.60,23.60
